UID          PID    PPID  C STIME TTY          TIME CMD
{HOSTNAME}   82827    1039  0 13:50 ?        00:00:00 kio_file.so [kdeinit5] file local:/run/user/1000/klauncherGPdLds.1.slave-socket local:/run/user/1000/dolphinrerHVy.15.slave-socket
root       82872       2  0 13:50 ?        00:00:00 [kworker/10:0-mm_percpu_wq]
{HOSTNAME}   82919    1039  0 13:51 ?        00:00:00 thumbnail.so [kdeinit5] thumbnail local:/run/user/1000/klauncherGPdLds.1.slave-socket local:/run/user/1000/dolphinmtpcHJ.22.slave-socket
root       82932       2  0 13:51 ?        00:00:00 [kworker/5:0-events]
{HOSTNAME}   82965   77877  0 13:51 ?        00:00:02 /usr/bin/konsole --workdir /home/{HOSTNAME}/Desktop/School/CY-2550
{HOSTNAME}   82977   82965  0 13:51 pts/1    00:00:00 /bin/bash
root       83494       2  0 13:52 ?        00:00:00 [kworker/4:0+events]
root       83496       2  0 13:52 ?        00:00:00 [kworker/2:2-events]
root       83509       2  0 13:52 ?        00:00:00 [kworker/6:0-mm_percpu_wq]
root       83510       2  0 13:52 ?        00:00:00 [kworker/8:2-mm_percpu_wq]
root       83740       2  0 13:53 ?        00:00:00 [kworker/7:2-events]
root       83748       2  0 13:53 ?        00:00:00 [kworker/11:1-events]
root       83767       2  0 13:54 ?        00:00:00 [kworker/9:1-pm]
root       83772       2  0 13:54 ?        00:00:00 [kworker/1:1-events]
root       83804       2  0 13:54 ?        00:00:00 [kworker/0:2-events]
root       83921       2  0 13:56 ?        00:00:00 [kworker/10:2-mm_percpu_wq]
{HOSTNAME}   83925   82977  0 13:56 pts/1    00:00:00 ps -ef
